eventid_count,year,country,deaths_sum,year,Country,HappinessScore,Freedom,Health_LifeExpectancy,Economy_GDPperCapita,Trust_GovernmentCorruption,country,country_code,year,Intellecutal_Property_Indicator,country,country_code,year,military_expenses
2,2016,Brazil,1,2016,Brazil,6.952,0.40425,0.61415,1.08754,0.14165999999999998,Brazil,BRA,2016,5140803656,Brazil,BRA,2016,3.43476949664241
1,2016,Bulgaria,0,2016,Bulgaria,4.217,0.21219,0.67806,1.11306,0.00615,Bulgaria,BGR,2016,183510000,Bulgaria,BGR,2016,4.28136516583881
10,2016,"Burkina Faso",62,2016,"Burkina Faso",3.739,0.3337,0.21297,0.31995,0.12533,"Burkina Faso",BFA,2016,460364.652,"Burkina Faso",BFA,2016,5.38717448245134
83,2016,Burundi,74,2016,Burundi,2.905,0.0432,0.15747,0.06831,0.09419,Burundi,BDI,2016,150910.1751,Burundi,BDI,2016,9.99646915791236
56,2016,Cameroon,269,2016,Cameroon,4.513,0.42736,0.12698,0.52497,0.06126,Cameroon,CMR,2016,905589.0408,Cameroon,CMR,2016,5.8988743127669
6,2016,Canada,1,2016,Canada,7.404,0.5737,0.8276,1.44015,0.31329,Canada,CAN,2016,11449343397,Canada,CAN,2016,2.90534764344742
5,2016,Chad,22,2016,Chad,3.763,0.12807,0.03824,0.42214,0.04952,Chad,TCD,2016,NULL,Chad,TCD,2016,21.1367233589456
18,2016,Chile,2,2016,Chile,6.705,0.37789,0.81883,1.2167,0.11450999999999999,Chile,CHL,2016,1613695026,Chile,CHL,2016,7.38774598329846
5,2016,China,13,2016,China,5.245,0.44012,0.73561,1.0278,0.02745,China,CHN,2016,23979580208,China,CHN,2016,6.03378485685762
109,2016,Colombia,52,2016,Colombia,6.481,0.44735,0.59659,1.03032,0.053989999999999996,Colombia,COL,2016,438586639.1,Colombia,COL,2016,10.9478637801276
2,2016,Cyprus,0,2016,Cyprus,5.546,0.29507,0.8488,1.31857,0.05227999999999999,Cyprus,CYP,2016,113971845.9,Cyprus,CYP,2016,4.08972456115313
2,2016,"Czech Republic",0,2016,"Czech Republic",6.596,0.41418,0.76376,1.30915,0.03986,"Czech Republic",CZE,2016,1193119443,"Czech Republic",CZE,2016,2.54034228139037
1,2016,Denmark,1,2016,Denmark,7.526,0.57941,0.79504,1.44178,0.44453000000000004,Denmark,DNK,2016,1625778239,Denmark,DNK,2016,2.18788693897523
2,2016,Ecuador,1,2016,Ecuador,5.976,0.4027,0.68613,0.97306,0.18037,Ecuador,ECU,2016,46324537.67,Ecuador,ECU,2016,6.52101712506487
13,2016,Ethiopia,279,2016,Ethiopia,4.508,0.36703,0.34578,0.29283,0.1717,Ethiopia,ETH,2016,1115301.752,Ethiopia,ETH,2016,3.64907633867701
3,2016,Finland,0,2016,Finland,7.413,0.57104,0.81091,1.40598,0.41003999999999996,Finland,FIN,2016,876760776.6,Finland,FIN,2016,2.57022764159973
26,2016,France,95,2016,France,6.478,0.46562,0.83795,1.39488,0.17808,France,FRA,2016,14711295509,France,FRA,2016,4.12574594512898
4,2016,Georgia,1,2016,Georgia,4.252,0.32461,0.64035,0.83792,0.3188,Georgia,GEO,2016,16194771.85,Georgia,GEO,2016,8.15784357816161
44,2016,Germany,27,2016,Germany,6.994,0.53466,0.81487,1.44787,0.28551,Germany,DEU,2016,11318635655,Germany,DEU,2016,2.7077030327167
1,2016,Ghana,0,2016,Ghana,4.276,0.40973,0.29681,0.63107,0.0326,Ghana,GHA,2016,NULL,Ghana,GHA,2016,1.46506559216099
31,2016,Greece,66,2016,Greece,5.033,0.05822,0.80029,1.24886,0.04127,Greece,GRC,2016,246609875.1,Greece,GRC,2016,5.20419285267039
